Timings,Voltage [V],Current Corrected [A] ,Power [W],Status,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,TimeSeconds
00:16:46,5.0,0.207,1.04,At Work (In the Office),,,,,,,1006.0
00:16:47,5.0,0.204,1.02,At Work (In the Office),,,,,,,1007.0
00:16:48,5.0,0.255,1.28,At Work (In the Office),,,,,,,1008.0
00:16:49,5.0,0.232,1.16,At Work (In the Office),,,,,,,1009.0
00:16:50,5.0,0.198,0.99,At Work (In the Office),,,,,,,1010.0
00:16:51,5.0,0.2,1.0,At Work (In the Office),,,,,,,1011.0
00:16:52,5.0,0.222,1.11,At Work (In the Office),,,,,,,1012.0
00:16:53,5.0,0.202,1.01,At Work (In the Office),,,,,,,1013.0
00:16:54,5.0,0.207,1.04,At Work (In the Office),,,,,,,1014.0
00:16:55,5.0,0.228,1.14,At Work (In the Office),,,,,,,1015.0
00:16:56,5.0,0.199,0.995,At Work (In the Office),,,,,,,1016.0
00:16:57,5.0,0.21,1.05,At Work (In the Office),,,,,,,1017.0
00:16:58,5.0,0.197,0.985,At Work (In the Office),,,,,,,1018.0
00:16:59,5.0,0.214,1.07,At Work (In the Office),,,,,,,1019.0
00:17:00,5.0,0.208,1.04,At Work (In the Office),,,,,,,1020.0
00:17:01,5.0,0.2,1.0,At Work (In the Office),,,,,,,1021.0
00:17:02,5.0,0.249,1.25,At Work (In the Office),,,,,,,1022.0
00:17:03,5.0,0.194,0.97,At Work (In the Office),,,,,,,1023.0
00:17:04,5.0,0.201,1.01,At Work (In the Office),,,,,,,1024.0
00:17:05,5.0,0.196,0.98,At Work (In the Office),,,,,,,1025.0
00:17:06,5.0,0.197,0.985,At Work (In the Office),,,,,,,1026.0
00:17:07,5.0,0.237,1.19,At Work (In the Office),,,,,,,1027.0
00:17:08,5.0,0.195,0.975,At Work (In the Office),,,,,,,1028.0
00:17:09,5.0,0.198,0.99,At Work (In the Office),,,,,,,1029.0
00:17:10,5.0,0.207,1.04,At Work (In the Office),,,,,,,1030.0
00:17:11,5.0,0.198,0.99,At Work (In the Office),,,,,,,1031.0
00:17:12,5.0,0.213,1.07,At Work (In the Office),,,,,,,1032.0
00:17:13,5.0,0.195,0.975,At Work (In the Office),,,,,,,1033.0
00:17:14,5.0,0.198,0.99,At Work (In the Office),,,,,,,1034.0
00:17:15,5.0,0.231,1.16,At Work (In the Office),,,,,,,1035.0
00:17:16,5.0,0.212,1.06,At Work (In the Office),,,,,,,1036.0
00:17:17,5.0,0.208,1.04,At Work (In the Office),,,,,,,1037.0
00:17:18,5.0,0.2,1.0,At Work (In the Office),,,,,,,1038.0
00:17:19,5.0,0.201,1.01,At Work (In the Office),,,,,,,1039.0
00:17:20,5.0,0.206,1.03,At Work (In the Office),,,,,,,1040.0
00:17:21,5.0,0.199,0.995,At Work (In the Office),,,,,,,1041.0
00:17:22,5.0,0.195,0.975,At Work (In the Office),,,,,,,1042.0
00:17:23,5.0,0.21,1.05,At Work (In the Office),,,,,,,1043.0
00:17:24,5.0,0.222,1.11,At Work (In the Office),,,,,,,1044.0
00:17:25,5.0,0.196,0.98,At Work (In the Office),,,,,,,1045.0
00:17:26,5.0,0.198,0.99,At Work (In the Office),,,,,,,1046.0
00:17:27,5.0,0.198,0.99,At Work (In the Office),,,,,,,1047.0
00:17:28,5.0,0.199,0.995,At Work (In the Office),,,,,,,1048.0
00:17:29,5.0,0.199,0.995,At Work (In the Office),,,,,,,1049.0
00:17:30,5.0,0.198,0.99,At Work (In the Office),,,,,,,1050.0
00:17:31,5.0,0.21,1.05,At Work (In the Office),,,,,,,1051.0
00:17:32,5.0,0.195,0.975,At Work (In the Office),,,,,,,1052.0
00:17:33,5.0,0.218,1.09,At Work (In the Office),,,,,,,1053.0
00:17:34,5.0,0.207,1.04,At Work (In the Office),,,,,,,1054.0
00:17:35,5.0,0.196,0.98,At Work (In the Office),,,,,,,1055.0
00:17:36,5.0,0.204,1.02,At Work (In the Office),,,,,,,1056.0
00:17:37,5.0,0.194,0.97,At Work (In the Office),,,,,,,1057.0
00:17:38,5.0,0.198,0.99,At Work (In the Office),,,,,,,1058.0
00:17:39,5.0,0.197,0.985,At Work (In the Office),,,,,,,1059.0
00:17:40,5.0,0.198,0.99,At Work (In the Office),,,,,,,1060.0
00:17:41,5.0,0.232,1.16,At Work (In the Office),,,,,,,1061.0
00:17:42,5.0,0.195,0.975,At Work (In the Office),,,,,,,1062.0
00:17:43,5.0,0.203,1.02,At Work (In the Office),,,,,,,1063.0
00:17:44,5.0,0.207,1.04,At Work (In the Office),,,,,,,1064.0
00:17:45,5.0,0.199,0.995,At Work (In the Office),,,,,,,1065.0
00:17:46,5.0,0.208,1.04,At Work (In the Office),,,,,,,1066.0
00:17:47,5.0,0.196,0.98,At Work (In the Office),,,,,,,1067.0
00:17:48,5.0,0.201,1.01,At Work (In the Office),,,,,,,1068.0
00:17:49,5.0,0.264,1.32,At Work (In the Office),,,,,,,1069.0
00:17:50,5.0,0.231,1.16,At Work (In the Office),,,,,,,1070.0
00:17:51,5.0,0.195,0.975,At Work (In the Office),,,,,,,1071.0
00:17:52,5.0,0.205,1.03,At Work (In the Office),,,,,,,1072.0
00:17:53,5.0,0.198,0.99,At Work (In the Office),,,,,,,1073.0
00:17:54,5.0,0.228,1.14,At Work (In the Office),,,,,,,1074.0
00:17:55,5.0,0.198,0.99,At Work (In the Office),,,,,,,1075.0
00:17:56,5.0,0.195,0.975,At Work (In the Office),,,,,,,1076.0
00:17:57,5.0,0.232,1.16,At Work (In the Office),,,,,,,1077.0
00:17:58,5.0,0.198,0.99,At Work (In the Office),,,,,,,1078.0
00:17:59,5.0,0.198,0.99,At Work (In the Office),,,,,,,1079.0
00:18:00,5.0,0.201,1.01,At Work (In the Office),,,,,,,1080.0
00:18:01,5.0,0.195,0.975,At Work (In the Office),,,,,,,1081.0
00:18:02,5.0,0.202,1.01,At Work (In the Office),,,,,,,1082.0
00:18:03,5.0,0.197,0.985,At Work (In the Office),,,,,,,1083.0
00:18:04,5.0,0.195,0.975,At Work (In the Office),,,,,,,1084.0
00:18:05,5.0,0.211,1.06,At Work (In the Office),,,,,,,1085.0
00:18:06,5.0,0.194,0.97,At Work (In the Office),,,,,,,1086.0
00:18:07,5.0,0.208,1.04,At Work (In the Office),,,,,,,1087.0
00:18:08,5.0,0.198,0.99,At Work (In the Office),,,,,,,1088.0
00:18:09,5.0,0.198,0.99,At Work (In the Office),,,,,,,1089.0
00:18:10,5.0,0.208,1.04,At Work (In the Office),,,,,,,1090.0
00:18:11,5.0,0.195,0.975,At Work (In the Office),,,,,,,1091.0
00:18:12,5.0,0.202,1.01,At Work (In the Office),,,,,,,1092.0
00:18:13,5.0,0.195,0.975,At Work (In the Office),,,,,,,1093.0
00:18:14,5.0,0.199,0.995,At Work (In the Office),,,,,,,1094.0
00:18:15,5.0,0.203,1.02,At Work (In the Office),,,,,,,1095.0
00:18:16,5.0,0.195,0.975,At Work (In the Office),,,,,,,1096.0
00:18:17,5.0,0.198,0.99,At Work (In the Office),,,,,,,1097.0
00:18:18,5.0,0.21,1.05,At Work (In the Office),,,,,,,1098.0
00:18:19,5.0,0.198,0.99,At Work (In the Office),,,,,,,1099.0
00:18:20,5.0,0.211,1.06,At Work (In the Office),,,,,,,1100.0
00:18:21,5.0,0.199,0.995,At Work (In the Office),,,,,,,1101.0
00:18:22,5.0,0.198,0.99,At Work (In the Office),,,,,,,1102.0
00:18:23,5.0,0.237,1.19,At Work (In the Office),,,,,,,1103.0
00:18:24,5.0,0.202,1.01,At Work (In the Office),,,,,,,1104.0
00:18:25,5.0,0.195,0.975,At Work (In the Office),,,,,,,1105.0
00:18:26,5.0,0.201,1.01,At Work (In the Office),,,,,,,1106.0
00:18:27,5.0,0.198,0.99,At Work (In the Office),,,,,,,1107.0
00:18:28,5.0,0.207,1.04,At Work (In the Office),,,,,,,1108.0
00:18:29,5.0,0.198,0.99,At Work (In the Office),,,,,,,1109.0
00:18:30,5.0,0.195,0.975,At Work (In the Office),,,,,,,1110.0
00:18:31,5.0,0.212,1.06,At Work (In the Office),,,,,,,1111.0
00:18:32,5.0,0.198,0.99,At Work (In the Office),,,,,,,1112.0
00:18:33,5.0,0.198,0.99,At Work (In the Office),,,,,,,1113.0
00:18:34,5.0,0.203,1.02,At Work (In the Office),,,,,,,1114.0
00:18:35,5.0,0.194,0.97,At Work (In the Office),,,,,,,1115.0
00:18:36,5.0,0.198,0.99,At Work (In the Office),,,,,,,1116.0
00:18:37,5.0,0.195,0.975,At Work (In the Office),,,,,,,1117.0
00:18:38,5.0,0.198,0.99,At Work (In the Office),,,,,,,1118.0
00:18:39,5.0,0.209,1.05,At Work (In the Office),,,,,,,1119.0
00:18:40,5.0,0.195,0.975,At Work (In the Office),,,,,,,1120.0
00:18:41,5.0,0.207,1.04,At Work (In the Office),,,,,,,1121.0
00:18:42,5.0,0.195,0.975,At Work (In the Office),,,,,,,1122.0
00:18:43,5.0,0.199,0.995,At Work (In the Office),,,,,,,1123.0
00:18:44,5.0,0.211,1.06,At Work (In the Office),,,,,,,1124.0
00:18:45,5.0,0.195,0.975,At Work (In the Office),,,,,,,1125.0
00:18:46,5.0,0.199,0.995,At Work (In the Office),,,,,,,1126.0
00:18:47,5.0,0.197,0.985,At Work (In the Office),,,,,,,1127.0
00:18:48,5.0,0.201,1.01,At Work (In the Office),,,,,,,1128.0
00:18:49,5.0,0.232,1.16,At Work (In the Office),,,,,,,1129.0
00:18:50,5.0,0.232,1.16,At Work (In the Office),,,,,,,1130.0
00:18:51,5.0,0.209,1.05,At Work (In the Office),,,,,,,1131.0
00:18:52,5.0,0.231,1.16,At Work (In the Office),,,,,,,1132.0
00:18:53,5.0,0.198,0.99,At Work (In the Office),,,,,,,1133.0
00:18:54,5.0,0.206,1.03,At Work (In the Office),,,,,,,1134.0
00:18:55,5.0,0.198,0.99,At Work (In the Office),,,,,,,1135.0
00:18:56,5.0,0.202,1.01,At Work (In the Office),,,,,,,1136.0
00:18:57,5.0,0.199,0.995,At Work (In the Office),,,,,,,1137.0
00:18:58,5.0,0.198,0.99,At Work (In the Office),,,,,,,1138.0
00:18:59,5.0,0.195,0.975,At Work (In the Office),,,,,,,1139.0
00:19:00,5.0,0.208,1.04,At Work (In the Office),,,,,,,1140.0
00:19:01,5.0,0.199,0.995,At Work (In the Office),,,,,,,1141.0
00:19:02,5.0,0.207,1.04,At Work (In the Office),,,,,,,1142.0
00:19:03,5.0,0.198,0.99,At Work (In the Office),,,,,,,1143.0
00:19:04,5.0,0.197,0.985,At Work (In the Office),,,,,,,1144.0
00:19:05,5.0,0.209,1.05,At Work (In the Office),,,,,,,1145.0
00:19:06,5.0,0.198,0.99,At Work (In the Office),,,,,,,1146.0
00:19:07,5.0,0.204,1.02,At Work (In the Office),,,,,,,1147.0
00:19:08,5.0,0.199,0.995,At Work (In the Office),,,,,,,1148.0
00:19:09,5.0,0.196,0.98,At Work (In the Office),,,,,,,1149.0
00:19:10,5.0,0.206,1.03,At Work (In the Office),,,,,,,1150.0
00:19:11,5.0,0.201,1.01,At Work (In the Office),,,,,,,1151.0
00:19:12,5.0,0.228,1.14,At Work (In the Office),,,,,,,1152.0
00:19:13,5.0,0.209,1.05,At Work (In the Office),,,,,,,1153.0
00:19:14,5.0,0.195,0.975,At Work (In the Office),,,,,,,1154.0
00:19:15,5.0,0.21,1.05,At Work (In the Office),,,,,,,1155.0
00:19:16,5.0,0.195,0.975,At Work (In the Office),,,,,,,1156.0
00:19:17,5.0,0.198,0.99,At Work (In the Office),,,,,,,1157.0
00:19:18,5.0,0.208,1.04,At Work (In the Office),,,,,,,1158.0
00:19:19,5.0,0.196,0.98,At Work (In the Office),,,,,,,1159.0
00:19:20,5.0,0.202,1.01,At Work (In the Office),,,,,,,1160.0
00:19:21,5.0,0.194,0.97,At Work (In the Office),,,,,,,1161.0
00:19:22,5.0,0.202,1.01,At Work (In the Office),,,,,,,1162.0
00:19:23,5.0,0.23,1.15,At Work (In the Office),,,,,,,1163.0
00:19:24,5.0,0.208,1.04,At Work (In the Office),,,,,,,1164.0
00:19:25,5.0,0.214,1.07,At Work (In the Office),,,,,,,1165.0
00:19:26,5.0,0.207,1.04,At Work (In the Office),,,,,,,1166.0
00:19:27,5.0,0.198,0.99,At Work (In the Office),,,,,,,1167.0
00:19:28,5.0,0.207,1.04,At Work (In the Office),,,,,,,1168.0
00:19:29,5.0,0.199,0.995,At Work (In the Office),,,,,,,1169.0
00:19:30,5.0,0.201,1.01,At Work (In the Office),,,,,,,1170.0
00:19:31,5.0,0.199,0.995,At Work (In the Office),,,,,,,1171.0
00:19:32,5.0,0.198,0.99,At Work (In the Office),,,,,,,1172.0
00:19:33,5.0,0.194,0.97,At Work (In the Office),,,,,,,1173.0
00:19:34,5.0,0.201,1.01,At Work (In the Office),,,,,,,1174.0
00:19:35,5.0,0.2,1.0,At Work (In the Office),,,,,,,1175.0
00:19:36,5.0,0.211,1.06,At Work (In the Office),,,,,,,1176.0
00:19:37,5.0,0.206,1.03,At Work (In the Office),,,,,,,1177.0
00:19:38,5.0,0.195,0.975,At Work (In the Office),,,,,,,1178.0
00:19:39,5.0,0.207,1.04,At Work (In the Office),,,,,,,1179.0
00:19:40,5.0,0.195,0.975,At Work (In the Office),,,,,,,1180.0
00:19:41,5.0,0.204,1.02,At Work (In the Office),,,,,,,1181.0
00:19:42,5.0,0.232,1.16,At Work (In the Office),,,,,,,1182.0
00:19:43,5.0,0.195,0.975,At Work (In the Office),,,,,,,1183.0
00:19:44,5.0,0.231,1.16,At Work (In the Office),,,,,,,1184.0
00:19:45,5.0,0.198,0.99,At Work (In the Office),,,,,,,1185.0
00:19:46,5.0,0.199,0.995,At Work (In the Office),,,,,,,1186.0
00:19:47,5.0,0.212,1.06,At Work (In the Office),,,,,,,1187.0
00:19:48,5.0,0.201,1.01,At Work (In the Office),,,,,,,1188.0
00:19:49,5.0,0.21,1.05,At Work (In the Office),,,,,,,1189.0
00:19:50,5.0,0.238,1.19,At Work (In the Office),,,,,,,1190.0
00:19:51,5.0,0.226,1.13,At Work (In the Office),,,,,,,1191.0
00:19:52,5.0,0.203,1.02,At Work (In the Office),,,,,,,1192.0
00:19:53,5.0,0.198,0.99,At Work (In the Office),,,,,,,1193.0
00:19:54,5.0,0.198,0.99,At Work (In the Office),,,,,,,1194.0
00:19:55,5.0,0.195,0.975,At Work (In the Office),,,,,,,1195.0
00:19:56,5.0,0.222,1.11,At Work (In the Office),,,,,,,1196.0
00:19:57,5.0,0.212,1.06,At Work (In the Office),,,,,,,1197.0
00:19:58,5.0,0.231,1.16,At Work (In the Office),,,,,,,1198.0
00:19:59,5.0,0.198,0.99,At Work (In the Office),,,,,,,1199.0
00:20:00,5.0,0.207,1.04,At Work (In the Office),,,,,,,1200.0
00:20:01,5.0,0.198,0.99,At Work (In the Office),,,,,,,1201.0
00:20:02,5.0,0.207,1.04,At Work (In the Office),,,,,,,1202.0
00:20:03,5.0,0.207,1.04,At Work (In the Office),,,,,,,1203.0
00:20:04,5.0,0.196,0.98,At Work (In the Office),,,,,,,1204.0
00:20:05,5.0,0.224,1.12,At Work (In the Office),,,,,,,1205.0
00:20:06,5.0,0.198,0.99,At Work (In the Office),,,,,,,1206.0
00:20:07,5.0,0.195,0.975,At Work (In the Office),,,,,,,1207.0
00:20:08,5.0,0.204,1.02,At Work (In the Office),,,,,,,1208.0
00:20:09,5.0,0.195,0.975,At Work (In the Office),,,,,,,1209.0
00:20:10,5.0,0.211,1.06,At Work (In the Office),,,,,,,1210.0
00:20:11,5.0,0.2,1.0,At Work (In the Office),,,,,,,1211.0
00:20:12,5.0,0.195,0.975,At Work (In the Office),,,,,,,1212.0
00:20:13,5.0,0.23,1.15,At Work (In the Office),,,,,,,1213.0
00:20:14,5.0,0.195,0.975,At Work (In the Office),,,,,,,1214.0
00:20:15,5.0,0.205,1.03,At Work (In the Office),,,,,,,1215.0
00:20:16,5.0,0.203,1.02,At Work (In the Office),,,,,,,1216.0
00:20:17,5.0,0.195,0.975,At Work (In the Office),,,,,,,1217.0
00:20:18,5.0,0.201,1.01,At Work (In the Office),,,,,,,1218.0
00:20:19,5.0,0.194,0.97,At Work (In the Office),,,,,,,1219.0
00:20:20,5.0,0.199,0.995,At Work (In the Office),,,,,,,1220.0
00:20:21,5.0,0.229,1.15,At Work (In the Office),,,,,,,1221.0
00:20:22,5.0,0.198,0.99,At Work (In the Office),,,,,,,1222.0
00:20:23,5.0,0.211,1.06,At Work (In the Office),,,,,,,1223.0
00:20:24,5.0,0.196,0.98,At Work (In the Office),,,,,,,1224.0
00:20:25,5.0,0.198,0.99,At Work (In the Office),,,,,,,1225.0
00:20:26,5.0,0.207,1.04,At Work (In the Office),,,,,,,1226.0
00:20:27,5.0,0.198,0.99,At Work (In the Office),,,,,,,1227.0
00:20:28,5.0,0.198,0.99,At Work (In the Office),,,,,,,1228.0
00:20:29,5.0,0.235,1.18,At Work (In the Office),,,,,,,1229.0
00:20:30,5.0,0.199,0.995,At Work (In the Office),,,,,,,1230.0
00:20:31,5.0,0.202,1.01,At Work (In the Office),,,,,,,1231.0
00:20:32,5.0,0.198,0.99,At Work (In the Office),,,,,,,1232.0
00:20:33,5.0,0.197,0.985,At Work (In the Office),,,,,,,1233.0
00:20:34,5.0,0.208,1.04,At Work (In the Office),,,,,,,1234.0
00:20:35,5.0,0.198,0.99,At Work (In the Office),,,,,,,1235.0
00:20:36,5.0,0.207,1.04,At Work (In the Office),,,,,,,1236.0
00:20:37,5.0,0.201,1.01,At Work (In the Office),,,,,,,1237.0
00:20:38,5.0,0.195,0.975,At Work (In the Office),,,,,,,1238.0
00:20:39,5.0,0.199,0.995,At Work (In the Office),,,,,,,1239.0
00:20:40,5.0,0.199,0.995,At Work (In the Office),,,,,,,1240.0
00:20:41,5.0,0.231,1.16,At Work (In the Office),,,,,,,1241.0
00:20:42,5.0,0.203,1.02,At Work (In the Office),,,,,,,1242.0
00:20:43,5.0,0.195,0.975,At Work (In the Office),,,,,,,1243.0
00:20:44,5.0,0.21,1.05,At Work (In the Office),,,,,,,1244.0
00:20:45,5.0,0.198,0.99,At Work (In the Office),,,,,,,1245.0
00:20:46,5.0,0.195,0.975,At Work (In the Office),,,,,,,1246.0
00:20:47,5.0,0.229,1.15,At Work (In the Office),,,,,,,1247.0
00:20:48,5.0,0.194,0.97,At Work (In the Office),,,,,,,1248.0
00:20:49,5.0,0.206,1.03,At Work (In the Office),,,,,,,1249.0
00:20:50,5.0,0.197,0.985,At Work (In the Office),,,,,,,1250.0
00:20:51,5.0,0.231,1.16,At Work (In the Office),,,,,,,1251.0
00:20:52,5.0,0.237,1.19,At Work (In the Office),,,,,,,1252.0
00:20:53,5.0,0.195,0.975,At Work (In the Office),,,,,,,1253.0
00:20:54,5.0,0.199,0.995,At Work (In the Office),,,,,,,1254.0
00:20:55,5.0,0.228,1.14,At Work (In the Office),,,,,,,1255.0
00:20:56,5.0,0.198,0.99,At Work (In the Office),,,,,,,1256.0
00:20:57,5.0,0.211,1.06,At Work (In the Office),,,,,,,1257.0
00:20:58,5.0,0.195,0.975,At Work (In the Office),,,,,,,1258.0
00:20:59,5.0,0.198,0.99,At Work (In the Office),,,,,,,1259.0
00:21:00,5.0,0.206,1.03,At Work (In the Office),,,,,,,1260.0
00:21:01,5.0,0.198,0.99,At Work (In the Office),,,,,,,1261.0
00:21:02,5.0,0.201,1.01,At Work (In the Office),,,,,,,1262.0
00:21:03,5.0,0.231,1.16,At Work (In the Office),,,,,,,1263.0
00:21:04,5.0,0.198,0.99,At Work (In the Office),,,,,,,1264.0
00:21:05,5.0,0.204,1.02,At Work (In the Office),,,,,,,1265.0
00:21:06,5.0,0.198,0.99,At Work (In the Office),,,,,,,1266.0
00:21:07,5.0,0.195,0.975,At Work (In the Office),,,,,,,1267.0
00:21:08,5.0,0.211,1.06,At Work (In the Office),,,,,,,1268.0
00:21:09,5.0,0.201,1.01,At Work (In the Office),,,,,,,1269.0
00:21:10,5.0,0.206,1.03,At Work (In the Office),,,,,,,1270.0
00:21:11,5.0,0.219,1.1,At Work (In the Office),,,,,,,1271.0
00:21:12,5.0,0.195,0.975,At Work (In the Office),,,,,,,1272.0
00:21:13,5.0,0.201,1.01,At Work (In the Office),,,,,,,1273.0
00:21:14,5.0,0.198,0.99,At Work (In the Office),,,,,,,1274.0
00:21:15,5.0,0.195,0.975,At Work (In the Office),,,,,,,1275.0
00:21:16,5.0,0.202,1.01,At Work (In the Office),,,,,,,1276.0
00:21:17,5.0,0.194,0.97,At Work (In the Office),,,,,,,1277.0
00:21:18,5.0,0.21,1.05,At Work (In the Office),,,,,,,1278.0
00:21:19,5.0,0.196,0.98,At Work (In the Office),,,,,,,1279.0
00:21:20,5.0,0.197,0.985,At Work (In the Office),,,,,,,1280.0
00:21:21,5.0,0.209,1.05,At Work (In the Office),,,,,,,1281.0
00:21:22,5.0,0.197,0.985,At Work (In the Office),,,,,,,1282.0
00:21:23,5.0,0.206,1.03,At Work (In the Office),,,,,,,1283.0
00:21:24,5.0,0.195,0.975,At Work (In the Office),,,,,,,1284.0
00:21:25,5.0,0.201,1.01,At Work (In the Office),,,,,,,1285.0
00:21:26,5.0,0.2,1.0,At Work (In the Office),,,,,,,1286.0
00:21:27,5.0,0.195,0.975,At Work (In the Office),,,,,,,1287.0
00:21:28,5.0,0.198,0.99,At Work (In the Office),,,,,,,1288.0
00:21:29,5.0,0.228,1.14,At Work (In the Office),,,,,,,1289.0
00:21:30,5.0,0.201,1.01,At Work (In the Office),,,,,,,1290.0
00:21:31,5.0,0.211,1.06,At Work (In the Office),,,,,,,1291.0
00:21:32,5.0,0.195,0.975,At Work (In the Office),,,,,,,1292.0
00:21:33,5.0,0.198,0.99,At Work (In the Office),,,,,,,1293.0
00:21:34,5.0,0.207,1.04,At Work (In the Office),,,,,,,1294.0
00:21:35,5.0,0.198,0.99,At Work (In the Office),,,,,,,1295.0
00:21:36,5.0,0.195,0.975,At Work (In the Office),,,,,,,1296.0
00:21:37,5.0,0.232,1.16,At Work (In the Office),,,,,,,1297.0
00:21:38,5.0,0.198,0.99,At Work (In the Office),,,,,,,1298.0
00:21:39,5.0,0.2,1.0,At Work (In the Office),,,,,,,1299.0
00:21:40,5.0,0.219,1.1,At Work (In the Office),,,,,,,1300.0
00:21:41,5.0,0.207,1.04,At Work (In the Office),,,,,,,1301.0
00:21:42,5.0,0.21,1.05,At Work (In the Office),,,,,,,1302.0
00:21:43,5.0,0.203,1.02,At Work (In the Office),,,,,,,1303.0
00:21:44,5.0,0.206,1.03,At Work (In the Office),,,,,,,1304.0
00:21:45,5.0,0.198,0.99,At Work (In the Office),,,,,,,1305.0
00:21:46,5.0,0.195,0.975,At Work (In the Office),,,,,,,1306.0
00:21:47,5.0,0.201,1.01,At Work (In the Office),,,,,,,1307.0
00:21:48,5.0,0.197,0.985,At Work (In the Office),,,,,,,1308.0
00:21:49,5.0,0.196,0.98,At Work (In the Office),,,,,,,1309.0
00:21:50,5.0,0.206,1.03,At Work (In the Office),,,,,,,1310.0
00:21:51,5.0,0.214,1.07,At Work (In the Office),,,,,,,1311.0
00:21:52,5.0,0.25,1.25,At Work (In the Office),,,,,,,1312.0
00:21:53,5.0,0.207,1.04,At Work (In the Office),,,,,,,1313.0
00:21:54,5.0,0.198,0.99,At Work (In the Office),,,,,,,1314.0
00:21:55,5.0,0.212,1.06,At Work (In the Office),,,,,,,1315.0
00:21:56,5.0,0.195,0.975,At Work (In the Office),,,,,,,1316.0
00:21:57,5.0,0.204,1.02,At Work (In the Office),,,,,,,1317.0
00:21:58,5.0,0.199,0.995,At Work (In the Office),,,,,,,1318.0
00:21:59,5.0,0.202,1.01,At Work (In the Office),,,,,,,1319.0
00:22:00,5.0,0.202,1.01,At Work (In the Office),,,,,,,1320.0
00:22:01,5.0,0.198,0.99,At Work (In the Office),,,,,,,1321.0
00:22:02,5.0,0.198,0.99,At Work (In the Office),,,,,,,1322.0
00:22:03,5.0,0.204,1.02,At Work (In the Office),,,,,,,1323.0
00:22:04,5.0,0.228,1.14,At Work (In the Office),,,,,,,1324.0
00:22:05,5.0,0.208,1.04,At Work (In the Office),,,,,,,1325.0
00:22:06,5.0,0.201,1.01,At Work (In the Office),,,,,,,1326.0
00:22:07,5.0,0.198,0.99,At Work (In the Office),,,,,,,1327.0
00:22:08,5.0,0.205,1.03,At Work (In the Office),,,,,,,1328.0
00:22:09,5.0,0.198,0.99,At Work (In the Office),,,,,,,1329.0
00:22:10,5.0,0.196,0.98,At Work (In the Office),,,,,,,1330.0
00:22:11,5.0,0.2,1.0,At Work (In the Office),,,,,,,1331.0
00:22:12,5.0,0.198,0.99,At Work (In the Office),,,,,,,1332.0
00:22:13,5.0,0.209,1.05,At Work (In the Office),,,,,,,1333.0
00:22:14,5.0,0.201,1.01,At Work (In the Office),,,,,,,1334.0
00:22:15,5.0,0.195,0.975,At Work (In the Office),,,,,,,1335.0
00:22:16,5.0,0.215,1.08,At Work (In the Office),,,,,,,1336.0
00:22:17,5.0,0.197,0.985,At Work (In the Office),,,,,,,1337.0
00:22:18,5.0,0.208,1.04,At Work (In the Office),,,,,,,1338.0
00:22:19,5.0,0.214,1.07,At Work (In the Office),,,,,,,1339.0
00:22:20,5.0,0.194,0.97,At Work (In the Office),,,,,,,1340.0
00:22:21,5.0,0.203,1.02,At Work (In the Office),,,,,,,1341.0
00:22:22,5.0,0.195,0.975,At Work (In the Office),,,,,,,1342.0
00:22:23,5.0,0.198,0.99,At Work (In the Office),,,,,,,1343.0
00:22:24,5.0,0.201,1.01,At Work (In the Office),,,,,,,1344.0
00:22:25,5.0,0.196,0.98,At Work (In the Office),,,,,,,1345.0
00:22:26,5.0,0.213,1.07,At Work (In the Office),,,,,,,1346.0
00:22:27,5.0,0.196,0.98,At Work (In the Office),,,,,,,1347.0
00:22:28,5.0,0.211,1.06,At Work (In the Office),,,,,,,1348.0
00:22:29,5.0,0.221,1.11,At Work (In the Office),,,,,,,1349.0
00:22:30,5.0,0.196,0.98,At Work (In the Office),,,,,,,1350.0
00:22:31,5.0,0.211,1.06,At Work (In the Office),,,,,,,1351.0
00:22:32,5.0,0.194,0.97,At Work (In the Office),,,,,,,1352.0
00:22:33,5.0,0.198,0.99,At Work (In the Office),,,,,,,1353.0
00:22:34,5.0,0.196,0.98,At Work (In the Office),,,,,,,1354.0
00:22:35,5.0,0.197,0.985,At Work (In the Office),,,,,,,1355.0
00:22:36,5.0,0.198,0.99,At Work (In the Office),,,,,,,1356.0
00:22:37,5.0,0.203,1.02,At Work (In the Office),,,,,,,1357.0
00:22:38,5.0,0.198,0.99,At Work (In the Office),,,,,,,1358.0
00:22:39,5.0,0.208,1.04,At Work (In the Office),,,,,,,1359.0
00:22:40,5.0,0.198,0.99,At Work (In the Office),,,,,,,1360.0
00:22:41,5.0,0.198,0.99,At Work (In the Office),,,,,,,1361.0
00:22:42,5.0,0.211,1.06,At Work (In the Office),,,,,,,1362.0
00:22:43,5.0,0.198,0.99,At Work (In the Office),,,,,,,1363.0
00:22:44,5.0,0.195,0.975,At Work (In the Office),,,,,,,1364.0
00:22:45,5.0,0.198,0.99,At Work (In the Office),,,,,,,1365.0
00:22:46,5.0,0.198,0.99,At Work (In the Office),,,,,,,1366.0
00:22:47,5.0,0.202,1.01,At Work (In the Office),,,,,,,1367.0
00:22:48,5.0,0.199,0.995,At Work (In the Office),,,,,,,1368.0
00:22:49,5.0,0.194,0.97,At Work (In the Office),,,,,,,1369.0
00:22:50,5.0,0.211,1.06,At Work (In the Office),,,,,,,1370.0
00:22:51,5.0,0.199,0.995,At Work (In the Office),,,,,,,1371.0
