TimeSeconds,Power [W],CumulativeEnergy,Status
112.0,1.25,115.26999999999994,At Work (In the Office)
113.0,0.985,116.25499999999994,At Work (In the Office)
114.0,0.98,117.23499999999994,At Work (In the Office)
115.0,0.99,118.22499999999994,At Work (In the Office)
116.0,0.985,119.20999999999994,At Work (In the Office)
117.0,1.04,120.24999999999994,At Work (In the Office)
118.0,0.975,121.22499999999994,At Work (In the Office)
119.0,1.04,122.26499999999994,At Work (In the Office)
120.0,1.18,123.44499999999995,At Work (In the Office)
121.0,0.98,124.42499999999995,At Work (In the Office)
122.0,1.06,125.48499999999996,At Work (In the Office)
123.0,1.13,126.61499999999995,At Work (In the Office)
124.0,1.01,127.62499999999996,At Work (In the Office)
125.0,1.01,128.63499999999996,At Work (In the Office)
126.0,0.975,129.60999999999996,At Work (In the Office)
127.0,1.01,130.61999999999995,At Work (In the Office)
128.0,1.15,131.76999999999995,At Work (In the Office)
129.0,1.01,132.77999999999994,At Work (In the Office)
130.0,1.16,133.93999999999994,At Work (In the Office)
131.0,0.985,134.92499999999995,At Work (In the Office)
132.0,1.01,135.93499999999995,At Work (In the Office)
133.0,1.04,136.97499999999994,At Work (In the Office)
134.0,0.995,137.96999999999994,At Work (In the Office)
135.0,1.0,138.96999999999994,At Work (In the Office)
136.0,1.15,140.11999999999995,At Work (In the Office)
137.0,0.99,141.10999999999996,At Work (In the Office)
138.0,0.995,142.10499999999996,At Work (In the Office)
139.0,1.09,143.19499999999996,At Work (In the Office)
140.0,0.99,144.18499999999997,At Work (In the Office)
141.0,1.07,145.25499999999997,At Work (In the Office)
142.0,1.0,146.25499999999997,At Work (In the Office)
143.0,1.06,147.31499999999997,At Work (In the Office)
144.0,1.02,148.33499999999998,At Work (In the Office)
145.0,0.985,149.32,At Work (In the Office)
146.0,1.05,150.37,At Work (In the Office)
147.0,0.99,151.36,At Work (In the Office)
148.0,1.01,152.37,At Work (In the Office)
149.0,1.01,153.38,At Work (In the Office)
150.0,0.99,154.37,At Work (In the Office)
151.0,1.05,155.42000000000002,At Work (In the Office)
152.0,1.01,156.43,At Work (In the Office)
153.0,1.16,157.59,At Work (Not in the office) Bluetooth
154.0,1.31,158.9,At Work (Not in the office) Bluetooth
155.0,1.01,159.91,At Work (Not in the office) Bluetooth
156.0,1.07,160.98,At Work (Not in the office) Bluetooth
157.0,1.02,162.0,At Work (Not in the office) Bluetooth
158.0,1.33,163.33,At Work (Not in the office) Bluetooth
159.0,1.19,164.52,At Work (Not in the office)
160.0,1.03,165.55,At Work (Not in the office)
161.0,1.0,166.55,At Work (Not in the office)
162.0,1.01,167.56,At Work (Not in the office)
163.0,1.01,168.57,At Work (Not in the office)
164.0,1.04,169.60999999999999,At Work (Not in the office)
165.0,0.985,170.595,At Work (Not in the office)
166.0,0.99,171.585,At Work (Not in the office)
167.0,1.04,172.625,At Work (Not in the office)
168.0,1.01,173.635,At Work (Not in the office)
169.0,1.02,174.655,At Work (Not in the office)
170.0,0.985,175.64000000000001,At Work (Not in the office)
171.0,1.15,176.79000000000002,At Work (Not in the office)
172.0,0.98,177.77,At Work (Not in the office)
173.0,1.17,178.94,At Work (Not in the office)
174.0,0.97,179.91,At Work (Not in the office)
175.0,1.09,181.0,At Work (Not in the office)
176.0,0.975,181.975,At Work (Not in the office)
177.0,1.05,183.025,At Work (Not in the office)
178.0,0.99,184.01500000000001,At Work (Not in the office)
179.0,0.975,184.99,At Work (Not in the office)
180.0,1.04,186.03,At Work (Not in the office)
181.0,0.975,187.005,At Work (Not in the office)
182.0,0.99,187.995,At Work (Not in the office)
183.0,1.0,188.995,At Work (Not in the office)
184.0,0.975,189.97,At Work (Not in the office)
185.0,1.03,191.0,At Work (Not in the office)
186.0,0.975,191.975,At Work (Not in the office)
187.0,0.985,192.96,At Work (Not in the office)
188.0,1.03,193.99,At Work (Not in the office)
189.0,0.98,194.97,At Work (Not in the office)
190.0,1.07,196.04,At Work (Not in the office)
191.0,0.97,197.01,At Work (Not in the office)
192.0,1.09,198.1,At Work (Not in the office)
193.0,1.15,199.25,At Work (Not in the office)
194.0,0.99,200.24,At Work (Not in the office)
195.0,0.99,201.23000000000002,At Work (Not in the office)
196.0,0.99,202.22000000000003,At Work (Not in the office)
197.0,0.99,203.21000000000004,At Work (Not in the office)
198.0,1.06,204.27000000000004,At Work (Not in the office)
199.0,1.02,205.29000000000005,At Work (Not in the office)
200.0,1.08,206.37000000000006,At Work (Not in the office)
201.0,1.07,207.44000000000005,At Work (Not in the office)
202.0,0.99,208.43000000000006,At Work (Not in the office)
203.0,1.0,209.43000000000006,At Work (Not in the office)
204.0,1.02,210.45000000000007,At Work (Not in the office)
205.0,0.975,211.42500000000007,At Work (Not in the office)
206.0,1.01,212.43500000000006,At Work (Not in the office)
207.0,0.99,213.42500000000007,At Work (Not in the office)
208.0,1.16,214.58500000000006,At Work (Not in the office)
209.0,1.07,215.65500000000006,At Work (Not in the office)
210.0,0.975,216.63000000000005,At Work (Not in the office)
211.0,1.08,217.71000000000006,At Work (Not in the office)
212.0,0.99,218.70000000000007,At Work (Not in the office)
213.0,1.0,219.70000000000007,At Work (Not in the office)
214.0,1.05,220.75000000000009,At Work (Not in the office)
215.0,0.975,221.72500000000008,At Work (Not in the office)
216.0,1.02,222.7450000000001,At Work (Not in the office)
217.0,0.985,223.7300000000001,At Work (Not in the office)
218.0,1.02,224.7500000000001,At Work (Not in the office)
219.0,1.2,225.9500000000001,At Work (Not in the office)
220.0,1.14,227.0900000000001,At Work (Not in the office)
221.0,0.99,228.0800000000001,At Work (Not in the office)
222.0,1.02,229.1000000000001,At Work (Not in the office)
223.0,0.995,230.0950000000001,At Work (Not in the office)
224.0,1.07,231.1650000000001,At Work (Not in the office)
225.0,0.975,232.1400000000001,At Work (Not in the office)
226.0,1.1,233.2400000000001,At Work (Not in the office)
227.0,1.04,234.2800000000001,At Work (Not in the office)
228.0,0.99,235.2700000000001,At Work (Not in the office)
229.0,1.01,236.2800000000001,At Work (Not in the office)
230.0,0.99,237.2700000000001,At Work (Not in the office)
231.0,1.11,238.3800000000001,At Work (Not in the office)
232.0,1.03,239.4100000000001,At Work (Not in the office)
233.0,0.985,240.39500000000012,At Work (Not in the office)
234.0,0.995,241.39000000000013,At Work (Not in the office)
235.0,1.17,242.56000000000012,At Work (Not in the office)
236.0,1.26,243.8200000000001,At Work (Not in the office)
237.0,1.03,244.8500000000001,At Work (Not in the office)
